Citycode,Provincecode,Province,City,LUL
610400,610000,陕西省,咸阳市,282.3851705
610500,610000,陕西省,渭南市,290.3486699
610600,610000,陕西省,延安市,213.8410839
610700,610000,陕西省,汉中市,221.8791647
610800,610000,陕西省,榆林市,225.3458324
610900,610000,陕西省,安康市,214.9393338
611000,610000,陕西省,商洛市,211.7081226
620100,620000,甘肃省,兰州市,213.457371
620200,620000,甘肃省,嘉峪关市,50.8978828
620300,620000,甘肃省,金昌市,151.0738567
620400,620000,甘肃省,白银市,205.4439477
620500,620000,甘肃省,天水市,242.2057822
620600,620000,甘肃省,武威市,116.3934692
620700,620000,甘肃省,张掖市,152.1181054
620800,620000,甘肃省,平凉市,252.1921732
620900,620000,甘肃省,酒泉市,30.44569203
621000,620000,甘肃省,庆阳市,222.7278779
621100,620000,甘肃省,定西市,235.8994773
621200,620000,甘肃省,陇南市,220.4334873
622900,620000,甘肃省,临夏回族自治州,234.7473072
623000,620000,甘肃省,甘南藏族自治州,197.4392252
630100,630000,青海省,西宁市,210.0946472
630200,630000,青海省,海东市,209.8791384
632200,630000,青海省,海北藏族自治州,182.4484848
632300,630000,青海省,黄南藏族自治州,194.3023069
632500,630000,青海省,海南藏族自治州,186.0122769
632600,630000,青海省,果洛藏族自治州,191.8649045
632700,630000,青海省,玉树藏族自治州,169.4220333
632800,630000,青海省,海西蒙古族藏族自治州,85.34608864
640100,640000,宁夏回族自治区,银川市,239.4486107
640200,640000,宁夏回族自治区,石嘴山市,251.1085712
640300,640000,宁夏回族自治区,吴忠市,213.2624288
640400,640000,宁夏回族自治区,固原市,232.6053037
640500,640000,宁夏回族自治区,中卫市,207.8716374
650100,650000,新疆维吾尔自治区,乌鲁木齐市,130.0226801
650200,650000,新疆维吾尔自治区,克拉玛依市,69.55303732
650400,650000,新疆维吾尔自治区,吐鲁番市,24.92162429
650500,650000,新疆维吾尔自治区,哈密市,26.72624159
652300,650000,新疆维吾尔自治区,昌吉回族自治州,107.3946916
652700,650000,新疆维吾尔自治区,博尔塔拉蒙古自治州,156.4769308
652800,650000,新疆维吾尔自治区,巴音郭楞蒙古自治州,38.84402653
652900,650000,新疆维吾尔自治区,阿克苏地区,80.37751742
653000,650000,新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,98.7195631
653100,650000,新疆维吾尔自治区,喀什地区,82.93817254
653200,650000,新疆维吾尔自治区,和田地区,30.27190396
654000,650000,新疆维吾尔自治区,伊犁哈萨克自治州,197.6894146
654200,650000,新疆维吾尔自治区,塔城地区,132.8753892
654300,650000,新疆维吾尔自治区,阿勒泰地区,89.20113349
659001,650000,新疆维吾尔自治区,石河子市,284.7825705
659002,650000,新疆维吾尔自治区,阿拉尔市,226.1494651
659003,650000,新疆维吾尔自治区,图木舒克市,217.3971411
659004,650000,新疆维吾尔自治区,五家渠市,224.7732799
659005,650000,新疆维吾尔自治区,北屯市,227.5390554
659006,650000,新疆维吾尔自治区,铁门关市,224.0450608
659007,650000,新疆维吾尔自治区,双河市,273.78837
659008,650000,新疆维吾尔自治区,可克达拉市,260.7876553
659009,650000,新疆维吾尔自治区,昆玉市,143.9302027
659010,650000,新疆维吾尔自治区,胡杨河市,258.5298463
710000,710000,台湾省,台湾省,237.1600458
810000,810000,香港特别行政区,香港特别行政区,244.0031561
820000,820000,澳门特别行政区,澳门特别行政区,338.1454389
