Name_of_Regions_x,Year,Citycode,UI,Name_of_Regions_y,UER,C,T,D,UI_normalized,UER_normalized,C2,T2,D2,Delta_UER,Delta_UI,DI,Delta_UER_l,Delta_UI_l,DI_long,DI_C_Short,DI_C_Long
太原,2022,140100.0,0.13725848909946256,太原,0.08509652064418696,0.9720947231286177,0.11117750487182476,0.32874772366741495,0.12963587470835328,0.6331485570480464,0.7511792571983478,0.3813922158781998,0.5352512694283107,0.0029392477440708387,0.11470607437541935,0.02562416820621923,0.15485517239630475,0.8514159529475243,0.18187957585268433,Weak decoupling / Decoupling,Weak decoupling / Decoupling
Datong,2006,140200.0,0.037957397140033426,Datong,0.03940477141409594,0.9998249700206985,0.03868108427706468,0.19665786007094735,0.029378560627520284,0.29164460379845814,0.5766812802833768,0.16051158221298922,0.30424336431695126,,,,,,,Unknown,Unknown
大同,2010,140200.0,0.04176388906096182,大同,0.06711899178903422,0.9725088708638647,0.05444144042499802,0.2300973353950827,0.03322170724889471,0.49878300359162475,0.48392862755986604,0.26600235542025974,0.358784273326212,0.703321434952527,0.10028327039615981,7.013347611960804,,,,Negative decoupling of expansion / Negative decoupling,Unknown
大同,2014,140200.0,0.04777833380239864,大同,0.0844470424269421,0.9607776823037272,0.06611268811467037,0.25203094107208773,0.039294068222633115,0.6282943025606182,0.4707239453275607,0.3337941853916257,0.39638985339554955,0.2581691139278841,0.14401064835359723,1.7927085037072215,,,,Negative decoupling of expansion / Negative decoupling,Unknown
大同,2018,140200.0,0.050952248943686516,大同,0.08189882561762872,0.9724906626486158,0.06642553728065761,0.25416178856558486,0.042498546651893676,0.6092487171150851,0.4937818586072815,0.3258736318834894,0.40113649500205595,-0.030175323327846892,0.06643000893280493,-0.4542423493931747,,,,Strong decoupling / Decoupling,Unknown
大同,2022,140200.0,0.05676121832050865,大同,0.08543754128747187,0.9794548312056223,0.07109937980399025,0.2638913243074537,0.048363453631324896,0.635697373842848,0.512647844938479,0.3420304137370864,0.41873757235974624,0.04320838111116254,0.11400810557434515,0.3789939398912841,1.1682029414567041,0.49539279817063514,2.3581346878085285,Weak decoupling / Decoupling,Negative decoupling of expansion / Negative decoupling
Yangquan,2006,140300.0,0.04271760825827521,Yangquan,0.027522343557120067,0.9763194941488733,0.03511997590769764,0.18517104825734496,0.03418461030688962,0.20283434470932032,0.7026401784016967,0.11850947750810498,0.28856458621699704,,,,,,,Unknown,Unknown
阳泉,2010,140300.0,0.047583088666599806,阳泉,0.07602157534021885,0.9731726258878826,0.06180233200340933,0.24524342544042355,0.03909694296936262,0.565321657245578,0.49193915072252964,0.3022093001074703,0.3855756559163442,1.7621766722896663,0.11389870844143202,15.471436826658989,,,,Negative decoupling of expansion / Negative decoupling,Unknown
阳泉,2014,140300.0,0.05466353562745502,阳泉,0.0720374481477052,0.9905537075460232,0.0633504918875801,0.2505036219580602,0.046245571255113666,0.5355439575641538,0.5409993350038138,0.29089476440963374,0.3967037611388414,-0.05240784835993606,0.1488017520355971,-0.3521991350437782,,,,Strong decoupling / Decoupling,Unknown
阳泉,2018,140300.0,0.05966418204101905,阳泉,0.07164015778911602,0.995831884948164,0.06565216991506753,0.2556922449302263,0.05129437150694488,0.5325745762134219,0.5661606599682613,0.29193447386018334,0.40654866177146437,-0.005515053195312758,0.09148047882677446,-0.060286667341957714,,,,Strong decoupling / Decoupling,Unknown
阳泉,2022,140300.0,0.061411030095573235,阳泉,0.081818011303688,0.9897979752233357,0.07161452069963062,0.2662403192326137,0.05305804087453335,0.6086447041771926,0.5431560084723266,0.330851372525863,0.42391498074347234,0.14206911079861229,0.02927800222507404,4.85241819801976,1.9727850440454797,0.4376045991216457,4.508145133769682,Negative decoupling of expansion / Negative decoupling,Negative decoupling of expansion / Negative decoupling
Changzhi,2006,140400.0,0.026694824347439222,Changzhi,0.06714818956323666,0.9023161611506265,0.04692150695533794,0.20576208113095804,0.01800753463430468,0.4990012301967392,0.36669925484359855,0.2585043824155219,0.307885310473846,,,,,,,Unknown,Unknown
长治,2010,140400.0,0.03235927229607761,长治,0.0891002964906103,0.8841729183136987,0.06072978439334395,0.23172317686330954,0.023726528513175554,0.6630731124112788,0.36525632496988997,0.34339982046222717,0.3541595070266406,0.3269203096935367,0.2121927409940707,1.5406762180553188,,,,Negative decoupling of expansion / Negative decoupling,Unknown
长治,2014,140400.0,0.03740284472259523,长治,0.08171968991991096,0.9282217536437756,0.059561267321253095,0.2351298875136448,0.028818668134977486,0.6079098419358777,0.41574998256295564,0.3183642550354276,0.36381304742909837,-0.0828348149377609,0.15586173818652194,-0.5314634361297275,,,,Strong decoupling / Decoupling,Unknown
长治,2018,140400.0,0.040422500572388526,长治,0.08619893781234592,0.9323635741618775,0.06331071919236722,0.24295803841189217,0.031867401829390844,0.6413881151170678,0.42470156092524886,0.33662775847322934,0.3781088923502701,0.05481234567611337,0.08073332047840487,0.678930896825617,,,,Weak decoupling / Decoupling,Unknown
长治,2022,140400.0,0.047250680249155894,长治,0.09166119802598319,0.9475178697569616,0.06945593913756953,0.2565360471621855,0.03876133361750975,0.6822135045597332,0.451096439209548,0.3604874190886215,0.40325499517143887,0.06336806870553957,0.16892026915899172,0.3751359681169822,0.36505836750313947,0.7700315100102373,0.47408237553588706,Weak decoupling / Decoupling,Weak decoupling / Decoupling
Jincheng,2006,140500.0,0.0253661809730684,Jincheng,0.06514644042414981,0.898242793269924,0.04525631069860911,0.20162131567622057,0.0166660970583701,0.4840399897992733,0.3587605652631758,0.2503530434288217,0.29969451008632186,,,,,,,Unknown,Unknown
